,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,date_popularity,week_popularity
0,Sad!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023,2.7767666666666666,4,2018-06-30,0
1,I Like It,"Cardi B, Bad Bunny & J Balvin",0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.37200000000000005,0.65,136.048,4.223166666666667,4,2018-06-30,0
2,Nice For What,Drake,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.11900000000000001,0.758,93.37200000000001,3.51245,4,2018-06-30,0
3,Lucid Dreams,Juice WRLD,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,3.9972666666666665,4,2018-06-30,0
4,Girls Like You,Maroon 5 Featuring Cardi B,0.611,0.462,0,-7.053999999999999,1,0.0646,0.5579999999999999,1.01e-06,0.131,0.377,59.635,3.5871666666666666,4,2018-06-30,0
5,Psycho,Post Malone Featuring Ty Dolla $ign,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.45899999999999996,140.06,3.6906666666666665,4,2018-06-30,0
6,Boo'd Up,Ella Mai,0.561,0.779,10,-5.107,0,0.0531,0.0862,0.0,0.078,0.235,81.965,4.267733333333333,4,2018-06-30,0
7,God's Plan,Drake,0.754,0.449,7,-9.211,1,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,3.3162166666666666,4,2018-06-30,0
8,No Tears Left To Cry,Ariana Grande,0.6990000000000001,0.713,9,-5.507000000000001,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,3.432,4,2018-06-30,0
9,The Middle,"Zedd, Maren Morris & Grey",0.643,0.8490000000000001,2,-5.428,1,0.0526,0.0371,0.0,0.057999999999999996,0.903,162.15200000000002,2.7642166666666665,4,2018-06-30,0
10,Meant To Be,Bebe Rexha & Florida Georgia Line,0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.047,0.0,0.083,0.579,154.084,2.7311666666666667,4,2018-06-30,0
11,Yes Indeed,Lil Baby & Drake,0.963,0.34600000000000003,5,-9.309,0,0.53,0.0355,0.0,0.10800000000000001,0.562,119.95700000000001,2.3712166666666668,4,2018-06-30,0
12,Apes**t,The Carters,0.698,0.7829999999999999,2,-6.502999999999999,1,0.266,0.016,0.0,0.17600000000000002,0.37799999999999995,160.034,4.4142166666666665,4,2018-06-30,0
13,Friends,Marshmello & Anne-Marie,0.42200000000000004,0.609,11,-6.361000000000001,0,0.0335,0.0114,4.76e-06,0.10800000000000001,0.0911,107.34,3.8335166666666667,3,2018-06-30,0
14,I'm Upset,Drake,0.899,0.586,11,-7.8660000000000005,0,0.34299999999999997,0.27899999999999997,0.0,0.0836,0.49200000000000005,150.002,3.57445,4,2018-06-30,0
15,Moonlight,XXXTENTACION,0.9209999999999999,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,2.2515,4,2018-06-30,0
16,This Is America,Childish Gambino,0.8540000000000001,0.46299999999999997,5,-6.159,1,0.13699999999999998,0.11699999999999999,0.0,0.354,0.5489999999999999,120.024,3.7628833333333334,4,2018-06-30,0
17,Changes,XXXTENTACION,0.669,0.308,11,-10.068,1,0.028999999999999998,0.883,0.0,0.0984,0.52,64.934,2.03145,4,2018-06-30,0
18,Jocelyn Flores,XXXTENTACION,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.43700000000000006,134.02100000000002,1.98555,4,2018-06-30,0
19,Mine,Bazzi,0.71,0.789,4,-3.8739999999999997,1,0.0722,0.0161,2.77e-06,0.451,0.7170000000000001,142.929,2.1844,4,2018-06-30,0
20,Perfect,Ed Sheeran,0.599,0.44799999999999995,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,4.39,3,2018-06-30,0
21,In My Blood,Shawn Mendes,0.622,0.7120000000000001,5,-7.321000000000001,1,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025,3.522666666666667,4,2018-06-30,0
22,Better Now,Post Malone,0.68,0.578,10,-5.803999999999999,1,0.04,0.331,0.0,0.135,0.341,145.03799999999998,3.85445,4,2018-06-30,0
23,Walk It Talk It,Migos Featuring Drake,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,4.60245,4,2018-06-30,0
24,Look Alive,BlocBoy JB Featuring Drake,0.922,0.581,10,-7.495,1,0.27,0.0010400000000000001,5.8599999999999995e-05,0.105,0.595,140.02200000000002,3.02105,4,2018-06-30,0
25,Never Be The Same,Camila Cabello,0.637,0.713,0,-4.333,1,0.0747,0.18100000000000002,0.000637,0.13699999999999998,0.243,129.923,3.7828833333333334,4,2018-06-30,0
26,Delicate,Taylor Swift,0.75,0.40399999999999997,9,-10.177999999999999,0,0.0682,0.21600000000000003,0.000357,0.0911,0.0499,95.045,3.8708833333333335,4,2018-06-30,0
27,F**k Love,XXXTENTACION Featuring Trippie Redd,0.331,0.16899999999999998,9,-19.859,1,0.0325,0.9940000000000001,0.8859999999999999,0.121,0.258,97.836,4.226216666666667,4,2018-06-30,0
28,Be Careful,Cardi B,0.8190000000000001,0.568,6,-8.231,0,0.41100000000000003,0.0252,0.0,0.0952,0.535,152.284,3.513116666666667,4,2018-06-30,0
29,Whatever It Takes,Imagine Dragons,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.11699999999999999,0.556,134.945,3.354,4,2018-06-30,0
30,Rockstar,Post Malone Featuring 21 Savage,0.746,0.69,11,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,3.0288833333333334,4,2018-06-30,0
31,Plug Walk,Rich The Kid,0.8759999999999999,0.519,11,-6.531000000000001,1,0.14300000000000002,0.20199999999999999,0.0,0.10800000000000001,0.158,94.98100000000001,2.9205,4,2018-06-30,0
32,Back To You,Selena Gomez,0.601,0.7240000000000001,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,3.4650833333333333,4,2018-06-30,0
33,Tequila,Dan + Shay,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,3.2791166666666665,4,2018-06-30,0
34,Heaven,Kane Brown,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006,2.9917833333333332,4,2018-06-30,0
35,Love Lies,Khalid & Normani,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.33799999999999997,143.955,3.3617833333333333,4,2018-06-30,0
36,One Kiss,Calvin Harris & Dua Lipa,0.7909999999999999,0.862,9,-3.24,0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,3.580783333333333,4,2018-06-30,0
37,Taste,Tyga Featuring Offset,0.884,0.5589999999999999,0,-7.442,1,0.12,0.0236,0.0,0.10099999999999999,0.342,97.994,3.88265,4,2018-06-30,0
38,Havana,Camila Cabello Featuring Young Thug,0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,3.621783333333333,4,2018-06-30,0
39,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,6.965333333333334,4,2018-06-30,0
40,New Rules,Dua Lipa,0.762,0.7,9,-6.021,0,0.0694,0.0026100000000000003,1.56e-05,0.153,0.608,116.073,3.4886666666666666,4,2018-06-30,0
41,Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,1.5911166666666667,4,2018-06-30,0
42,Bed,Nicki Minaj Featuring Ariana Grande,0.6709999999999999,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.33299999999999996,0.618,123.98899999999999,2.9681333333333333,4,2018-06-30,0
43,Wait,Maroon 5,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.9399999999999997e-05,0.0943,0.672,101.00299999999999,3.275333333333333,4,2018-06-30,0
44,All Girls Are The Same,Juice WRLD,0.6709999999999999,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,2.7636666666666665,4,2018-06-30,0
45,Freaky Friday,Lil Dicky Featuring Chris Brown,0.755,0.599,8,-5.042,1,0.22399999999999998,0.147,0.0,0.109,0.755,133.123,3.610533333333333,4,2018-06-30,0
46,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,3.2906166666666667,4,2018-06-30,0
47,All Mine,Kanye West,0.925,0.31,11,-6.531000000000001,0,0.29100000000000004,0.12300000000000001,0.0,0.0931,0.29100000000000004,121.927,2.425116666666667,4,2018-06-30,0
