,title,artist,date_popularity,week_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,music_clusters
0,Sad!,XXXTENTACION,2018-06-30,0,0.7104622871046229,0.6008199374258281,0.7272727272727273,0.8517040653459769,1.0,0.16968514906659238,0.25919001424325305,0.003903462749213012,0.10835214446952596,0.4671610169491526,0.12262325221345975,0.2127174480406286,0.75,2.0
1,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-06-30,0,0.8029197080291971,0.7227316862660482,0.4545454545454546,0.8931086282978123,0.0,0.14739481749791028,0.0993680498805356,0.0,0.3893905191873591,0.6546610169491526,0.4916844065992549,0.3551670480248709,0.75,1.0
2,Nice For What,Drake,2018-06-30,0,0.5218978102189781,0.9201639874851658,0.7272727272727273,0.776875410759553,1.0,0.06617442184452495,0.08941687096738526,0.00010178384050367264,0.1038374717832957,0.7690677966101696,0.2335925782572935,0.2851716768489854,0.75,2.0
3,Lucid Dreams,Juice WRLD,2018-06-30,0,0.4318734793187349,0.5501132808285685,0.5454545454545454,0.7413857853722654,0.0,0.24630816383393705,0.3506604466772611,0.0,0.35327313769751706,0.1970338983050848,0.17632686632154415,0.33291914658927885,0.75,1.0
4,Girls Like You,Maroon 5 Featuring Cardi B,2018-06-30,0,0.5535279805352799,0.43791131729420657,0.0,0.7496479203830626,1.0,0.0576762329339649,0.5607408903993236,1.0598111227701995e-06,0.11738148984198647,0.3654661016949153,0.029561178576612283,0.2925301940494989,0.75,0.0
5,Psycho,Post Malone Featuring Ty Dolla $ign,2018-06-30,0,0.7226277372262775,0.5436400906246629,0.7272727272727273,0.7008262135010797,1.0,0.11395932014488715,0.5486788553530808,0.0,0.09480812641083523,0.4523305084745763,0.5159477962165563,0.3027234556634156,0.75,2.0
6,Boo'd Up,Ella Mai,2018-06-30,0,0.4927007299270074,0.7799115330672134,0.9090909090909092,0.8410477889400055,0.0,0.041655057118974666,0.08650187916454324,0.0,0.05756207674943568,0.21504237288135594,0.16460641540471238,0.35955622379872165,0.75,1.0
7,God's Plan,Drake,2018-06-30,0,0.7274939172749393,0.42388607185241134,0.6363636363636364,0.6483898225518729,1.0,0.11953190303705767,0.033227891043637416,8.698845750262331e-05,0.5925507900677202,0.3442796610169492,0.1356016256229135,0.265845515457318,0.75,2.0
8,No Tears Left To Cry,Ariana Grande,2018-06-30,0,0.6605839416058396,0.7087064408242529,0.8181818181818182,0.8222702093700122,0.0,0.05043187517414323,0.04006304423650836,3.263378803777545e-06,0.3013544018058691,0.3411016949152542,0.4066839227829117,0.2772485087635787,0.75,1.0
9,The Middle,"Zedd, Maren Morris & Grey",2018-06-30,0,0.5924574209245743,0.8554320854461109,0.18181818181818185,0.8259787813350858,1.0,0.04095848425745334,0.03714805243366634,0.0,0.03498871331828443,0.9226694915254238,0.6495536794232912,0.21148145351642905,0.75,0.0
10,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-06-30,0,0.5924574209245743,0.7842269932031504,0.9090909090909092,0.7776265139423528,1.0,0.08693229311786012,0.04709923134681667,0.0,0.06320541760722348,0.5794491525423728,0.6007608011998646,0.2082265037933378,0.75,2.0
11,Yes Indeed,Lil Baby & Drake,2018-06-30,0,0.9817518248175184,0.3127629733520337,0.4545454545454546,0.6437893155572247,0.0,0.7060462524380051,0.0355397810941673,0.0,0.09142212189616253,0.5614406779661018,0.3943707968455175,0.17277660506938314,0.75,1.0
12,Apes**t,The Carters,2018-06-30,0,0.6593673965936739,0.7842269932031504,0.18181818181818185,0.7755140362407286,1.0,0.3382557815547507,0.01593897414402271,0.0,0.1681715575620768,0.3665254237288136,0.6367446417339978,0.3739827256223471,0.75,0.0
13,Friends,Marshmello & Anne-Marie,2018-06-30,0,0.3236009732360098,0.5965044772898911,1.0,0.7821800769880761,0.0,0.0143494009473391,0.011315194042962957,4.994753410283317e-06,0.09142212189616253,0.06260593220338984,0.3180669118002807,0.3167921264030097,0.5,1.0
14,I'm Upset,Drake,2018-06-30,0,0.9038929440389296,0.5716905815082534,1.0,0.7115294338559759,0.0,0.4455280022290332,0.28029857557417803,0.0,0.06388261851015803,0.4872881355932205,0.5760740722821618,0.2912777852553897,0.75,1.0
15,Moonlight,XXXTENTACION,2018-06-30,0,0.9306569343065694,0.5188261948430253,0.8181818181818182,0.8121303164022158,0.0,0.07968793535803846,0.5587305512249499,0.004239244491080798,0.08465011286681715,0.7192796610169492,0.44306691180028057,0.16098623499325376,0.75,1.0
16,This Is America,Childish Gambino,2018-06-30,0,0.8491484184914844,0.4389901823281908,0.4545454545454546,0.791662754670923,1.0,0.15853998328225133,0.11746110244989985,0.0,0.3690744920993228,0.5476694915254237,0.3947759930330447,0.30983575881528364,0.75,0.0
17,Changes,XXXTENTACION,2018-06-30,0,0.624087591240876,0.2717661020606323,1.0,0.6081588583231621,1.0,0.008080245193647266,0.8874210062350668,0.0,0.08058690744920992,0.5169491525423731,0.06160796361701092,0.13931447443149178,0.75,2.0
18,Jocelyn Flores,XXXTENTACION,2018-06-30,0,0.8710462287104623,0.36131189988132495,0.0,0.651535067129847,0.0,0.3048202842017275,0.4712807971396894,4.333683105981114e-06,0.3047404063205418,0.4290254237288137,0.479425710000484,0.1347939844983635,0.75,1.0
19,Mine,Bazzi,2018-06-30,0,0.6739659367396594,0.7907001834070558,0.3636363636363637,0.8989296779645103,1.0,0.06826414042908889,0.016039491102741398,2.9066107030430227e-06,0.4785553047404064,0.7256355932203391,0.533298659828729,0.1543778499276131,0.75,0.0
20,Perfect,Ed Sheeran,2018-06-30,0,0.5389294403892945,0.4228072068184271,0.7272727272727273,0.7844803304854004,1.0,0.0,0.16369890346049734,0.0,0.08916478555304741,0.14406779661016952,0.24374062605834826,0.3715977322044693,0.5,2.0
